CATEGORY                OPERATORS                           ASSOCIATIVITY

Parenthesil/brackets    () [] -> . ++ --                    Left to Right
Unary                   ! ~ ++ -- + - * & (type) sizeof     Right to Left
Multiplicative          * / %                               Left to Right
Additive                + -                                 Left to Right
Bitwise Shift           << >>                               Left to Right
Relational              < <= > >=                           Left to Right
Equality                == !=                               Left to Right
Bitwise AND             &                                   Left to Right
Bitwise OR              |                                   Left to Right
Bitwise XOR             ^                                   Left to Right
Logical AND             &&                                  Left to Right
Logical OR              ||                                  Left to Right
Conditional             ? :                                 Right to Left
Assignment              = += -= *= /= %= &= ^= |= <<= >>=   Right to Left
Comma                   ,                                   Left to Right
